params,rank_by_CV_mean_test_rmse,CV_mean_train_rmse,CV_mean_test_rmse,mean_train_rmse,mean_test_rmse,Train Years,Validate Year,model
"{'alpha': 0.01, 'max_iter': 10000, 'random_state': 0}",6,113020.18124436807,151089.09630106747,114506.59168866053,105067.85057480849,"[2016, 2017, 2018]",[2019],Ridge
"{'alpha': 0.001, 'max_iter': 10000, 'random_state': 0}",7,113020.1688381263,151110.41431395218,114506.58482326323,105073.96458499819,"[2016, 2017, 2018]",[2019],Ridge
"{'alpha': 10000, 'max_iter': 10000, 'random_state': 0}",8,149819.74080747753,165773.53086693303,147568.81785078542,131226.06451570182,"[2016, 2017, 2018]",[2019],Ridge
"{'alpha': 10, 'max_iter': 10000, 'random_state': 0}",1,115039.7660472756,160067.07529677154,116800.75789417772,112706.36065090208,[2016],[2017],Lasso
"{'alpha': 0.1, 'max_iter': 10000, 'random_state': 0}",2,115024.18392577767,160226.13933380746,116783.93315626921,112807.74579837664,[2016],[2017],Lasso
"{'alpha': 1, 'max_iter': 10000, 'random_state': 0}",3,115024.34378637794,160400.39097207692,116784.10971000293,112797.08602847779,[2016],[2017],Lasso
"{'alpha': 100, 'max_iter': 10000, 'random_state': 0}",4,116198.2164459859,163196.153057194,118034.18670135073,113181.59176404122,[2016],[2017],Lasso
"{'alpha': 1000, 'max_iter': 10000, 'random_state': 0}",5,131025.124896736,167647.48473067448,135141.48296940536,125472.88894763068,[2016],[2017],Lasso
"{'alpha': 10000, 'max_iter': 10000, 'random_state': 0}",6,139682.8754228505,170629.85782820635,141960.2327703789,129267.88393495744,[2016],[2017],Lasso
"{'alpha': 0.01, 'max_iter': 10000, 'random_state': 0}",7,115024.1824982255,171230.60885435395,116783.93166913415,112808.78841935903,[2016],[2017],Lasso
"{'alpha': 0.001, 'max_iter': 10000, 'random_state': 0}",8,115024.18248498911,173328.47362616062,116783.93165509922,112808.88130961201,[2016],[2017],Lasso
"{'alpha': 10, 'max_iter': 10000, 'random_state': 0}",1,111249.22400817757,149220.89648412575,112698.03760152402,123069.11863533965,"[2016, 2017]",[2018],Lasso
"{'alpha': 1, 'max_iter': 10000, 'random_state': 0}",2,111231.97283097048,149609.45746465639,112679.8074709472,123124.03438901456,"[2016, 2017]",[2018],Lasso
"{'alpha': 0.1, 'max_iter': 10000, 'random_state': 0}",3,111231.79538284299,150807.63202116123,112679.62299192151,123130.57409380809,"[2016, 2017]",[2018],Lasso
"{'alpha': 100, 'max_iter': 10000, 'random_state': 0}",4,112419.77331479207,151110.1756002026,113952.44993119933,123558.42435911713,"[2016, 2017]",[2018],Lasso
"{'alpha': 1000, 'max_iter': 10000, 'random_state': 0}",5,126125.7119912334,152467.62651732448,129174.08260474111,133895.70200270167,"[2016, 2017]",[2018],Lasso
"{'alpha': 10000, 'max_iter': 10000, 'random_state': 0}",6,133149.58751897764,154758.56034875452,134672.4543712438,138600.47337575088,"[2016, 2017]",[2018],Lasso
"{'alpha': 0.01, 'max_iter': 10000, 'random_state': 0}",7,111231.79381644736,161343.0031591066,112679.62133133189,123131.15060939187,"[2016, 2017]",[2018],Lasso
"{'alpha': 0.001, 'max_iter': 10000, 'random_state': 0}",8,111231.79380200237,163463.4623908389,112679.62131658777,123131.19675056133,"[2016, 2017]",[2018],Lasso
"{'alpha': 1000, 'max_iter': 10000, 'random_state': 0}",1,127448.25737641753,147987.8473768616,130220.02526442091,110613.21921476269,"[2016, 2017, 2018]",[2019],Lasso
"{'alpha': 10, 'max_iter': 10000, 'random_state': 0}",2,113037.57564197012,148341.95775332546,114525.80057367908,104894.4205114738,"[2016, 2017, 2018]",[2019],Lasso
"{'alpha': 1, 'max_iter': 10000, 'random_state': 0}",3,113020.35435081551,148743.28129978132,114506.77686745982,105056.43119611267,"[2016, 2017, 2018]",[2019],Lasso
"{'alpha': 10000, 'max_iter': 10000, 'random_state': 0}",4,134362.00033991024,149396.47037108487,135472.24566428593,115666.78475741003,"[2016, 2017, 2018]",[2019],Lasso
"{'alpha': 100, 'max_iter': 10000, 'random_state': 0}",5,114143.39608989099,149704.57596685793,115741.5913903843,104591.87761368904,"[2016, 2017, 2018]",[2019],Lasso
"{'alpha': 0.1, 'max_iter': 10000, 'random_state': 0}",6,113020.17039783132,149773.4848670427,114506.586507186,105072.85638150242,"[2016, 2017, 2018]",[2019],Lasso
"{'alpha': 0.01, 'max_iter': 10000, 'random_state': 0}",7,113020.16872804768,158833.23551468537,114506.58476900242,105074.50679079886,"[2016, 2017, 2018]",[2019],Lasso
"{'alpha': 0.001, 'max_iter': 10000, 'random_state': 0}",8,113020.16871259488,160713.33665656854,114506.58475394447,105074.63140395306,"[2016, 2017, 2018]",[2019],Lasso
"{'alpha': 10, 'l1_ratio': 1, 'max_iter': 10000, 'random_state': 0}",1,115039.7660472756,160067.07529677154,116800.75789417772,112706.36065090208,[2016],[2017],ElasticNet
"{'alpha': 0.1, 'l1_ratio': 1, 'max_iter': 10000, 'random_state': 0}",2,115024.18392577767,160226.13933380746,116783.93315626921,112807.74579837664,[2016],[2017],ElasticNet
"{'alpha': 1, 'l1_ratio': 1, 'max_iter': 10000, 'random_state': 0}",3,115024.34378637794,160400.39097207692,116784.10971000293,112797.08602847779,[2016],[2017],ElasticNet
"{'alpha': 0.01, 'l1_ratio': 0.8, 'max_iter': 10000, 'random_state': 0}",4,117675.6589721291,162065.3938710162,119794.01243662354,114272.89565668191,[2016],[2017],ElasticNet
"{'alpha': 1, 'l1_ratio': 0.6, 'max_iter': 10000, 'random_state': 0}",5,138308.84568776432,162288.9097292026,140664.05095638105,131195.20501486305,[2016],[2017],ElasticNet
"{'alpha': 1, 'l1_ratio': 0.8, 'max_iter': 10000, 'random_state': 0}",6,135362.11694907016,162306.5125234943,137981.84960160003,128329.12286186832,[2016],[2017],ElasticNet
"{'alpha': 100, 'l1_ratio': 1, 'max_iter': 10000, 'random_state': 0}",7,116198.2164459859,163196.153057194,118034.18670135073,113181.59176404122,[2016],[2017],ElasticNet
"{'alpha': 0.1, 'l1_ratio': 0, 'max_iter': 10000, 'random_state': 0}",8,133161.8376943338,163252.51629250095,135976.45057220574,126519.69439817072,[2016],[2017],ElasticNet
"{'alpha': 1, 'l1_ratio': 0.4, 'max_iter': 10000, 'random_state': 0}",9,140779.8244348232,163316.32231279742,142948.5018377377,133765.827415818,[2016],[2017],ElasticNet
"{'alpha': 0.01, 'l1_ratio': 0.6, 'max_iter': 10000, 'random_state': 0}",10,120050.98254884756,163466.91436832896,122494.80495891745,116241.45983231848,[2016],[2017],ElasticNet
"{'alpha': 0.1, 'l1_ratio': 0.2, 'max_iter': 10000, 'random_state': 0}",11,132477.88642178915,163577.27528705672,135343.29716241517,126011.16352230814,[2016],[2017],ElasticNet
"{'alpha': 0.1, 'l1_ratio': 0.4, 'max_iter': 10000, 'random_state': 0}",12,131559.93772436483,163956.39598988788,134481.9706847808,125343.7688516099,[2016],[2017],ElasticNet
"{'alpha': 0.01, 'l1_ratio': 0.4, 'max_iter': 10000, 'random_state': 0}",13,121780.59425700323,164064.3023048021,124420.25166679024,117689.95371077707,[2016],[2017],ElasticNet
"{'alpha': 0.01, 'l1_ratio': 0.2, 'max_iter': 10000, 'random_state': 0}",14,123098.93595494593,164371.93712288514,125861.56136480925,118784.18582923732,[2016],[2017],ElasticNet
"{'alpha': 0.1, 'l1_ratio': 0.6, 'max_iter': 10000, 'random_state': 0}",15,130147.79073907743,164376.51683068732,133127.8869043631,124315.642824489,[2016],[2017],ElasticNet
"{'alpha': 0.01, 'l1_ratio': 0, 'max_iter': 10000, 'random_state': 0}",16,124145.56570562918,164543.5871813848,126988.80055992439,119642.99589041577,[2016],[2017],ElasticNet
"{'alpha': 0.1, 'l1_ratio': 0.8, 'max_iter': 10000, 'random_state': 0}",17,127336.45571997957,164717.73978599234,130325.81063845323,122188.71635730073,[2016],[2017],ElasticNet
"{'alpha': 1, 'l1_ratio': 0.2, 'max_iter': 10000, 'random_state': 0}",18,143020.64921159888,164748.21604111014,145050.28905487,136127.3886068062,[2016],[2017],ElasticNet
"{'alpha': 1, 'l1_ratio': 0, 'max_iter': 10000, 'random_state': 0}",19,145093.57353657953,166341.83404094505,147016.87321534776,138313.1442529858,[2016],[2017],ElasticNet
"{'alpha': 1000, 'l1_ratio': 1, 'max_iter': 10000, 'random_state': 0}",20,131025.124896736,167647.48473067448,135141.48296940536,125472.88894763068,[2016],[2017],ElasticNet
"{'alpha': 0.01, 'l1_ratio': 1, 'max_iter': 10000, 'random_state': 0}",21,115024.1824982255,171230.60885435395,116783.93166913415,112808.78841935903,[2016],[2017],ElasticNet
"{'alpha': 10, 'l1_ratio': 0.8, 'max_iter': 10000, 'random_state': 0}",22,153712.3318603148,174352.67531041207,155363.48844513955,147330.9961100321,[2016],[2017],ElasticNet
"{'alpha': 10, 'l1_ratio': 0.6, 'max_iter': 10000, 'random_state': 0}",23,165689.74095754838,186757.55650044684,167257.21431985433,159771.22715461798,[2016],[2017],ElasticNet
"{'alpha': 10, 'l1_ratio': 0.4, 'max_iter': 10000, 'random_state': 0}",24,173807.92519760542,195279.12600606747,175434.9682680967,168213.97073188203,[2016],[2017],ElasticNet
"{'alpha': 10, 'l1_ratio': 0.2, 'max_iter': 10000, 'random_state': 0}",25,179711.86982537954,201421.22642836501,181416.38166221077,174367.47863345649,[2016],[2017],ElasticNet
"{'alpha': 10, 'l1_ratio': 0, 'max_iter': 10000, 'random_state': 0}",26,184204.68118475546,206046.3338786102,185979.34349534762,179055.72764347223,[2016],[2017],ElasticNet
"{'alpha': 100, 'l1_ratio': 0.8, 'max_iter': 10000, 'random_state': 0}",27,196613.83273841205,218570.10894298938,198596.03496750467,192007.33856990657,[2016],[2017],ElasticNet
"{'alpha': 100, 'l1_ratio': 0.6, 'max_iter': 10000, 'random_state': 0}",28,205473.23200112302,227265.98955255563,207585.76090535364,201234.2436945299,[2016],[2017],ElasticNet
"{'alpha': 100, 'l1_ratio': 0.4, 'max_iter': 10000, 'random_state': 0}",29,209018.42930159962,230691.3715555614,211173.46480634814,204916.64056018612,[2016],[2017],ElasticNet
"{'alpha': 100, 'l1_ratio': 0.2, 'max_iter': 10000, 'random_state': 0}",30,210927.233709038,232523.14677112183,213102.250721232,206896.37038364686,[2016],[2017],ElasticNet
"{'alpha': 100, 'l1_ratio': 0, 'max_iter': 10000, 'random_state': 0}",31,212120.102112658,233663.4963127815,214306.48150306623,208132.42167578894,[2016],[2017],ElasticNet
"{'alpha': 1000, 'l1_ratio': 0.8, 'max_iter': 10000, 'random_state': 0}",32,214651.6850795833,236079.5157624193,216859.63245242246,210752.29866256556,[2016],[2017],ElasticNet
"{'alpha': 1000, 'l1_ratio': 0.6, 'max_iter': 10000, 'random_state': 0}",33,215948.0484511886,237304.11711701402,218164.85507363986,212092.4417268771,[2016],[2017],ElasticNet
"{'alpha': 1000, 'l1_ratio': 0.4, 'max_iter': 10000, 'random_state': 0}",34,216389.56099766697,237720.29890449272,218609.10603505702,212548.57765146845,[2016],[2017],ElasticNet
"{'alpha': 1000, 'l1_ratio': 0.2, 'max_iter': 10000, 'random_state': 0}",35,216612.11708941942,237929.898932697,218832.9881456268,212778.44798364013,[2016],[2017],ElasticNet
"{'alpha': 1000, 'l1_ratio': 0, 'max_iter': 10000, 'random_state': 0}",36,216746.2313119948,238056.14134923407,218967.88358885184,212916.9507607089,[2016],[2017],ElasticNet
"{'alpha': 10, 'l1_ratio': 1, 'max_iter': 10000, 'random_state': 0}",1,111249.22400817757,149220.89648412575,112698.03760152402,123069.11863533965,"[2016, 2017]",[2018],ElasticNet
"{'alpha': 0.1, 'l1_ratio': 0, 'max_iter': 10000, 'random_state': 0}",2,127341.81337921163,149546.914731163,129314.04002301506,135037.09713409186,"[2016, 2017]",[2018],ElasticNet
"{'alpha': 1, 'l1_ratio': 0.8, 'max_iter': 10000, 'random_state': 0}",3,129411.11711715949,149580.00138287878,131206.51440166158,137779.62873588025,"[2016, 2017]",[2018],ElasticNet
"{'alpha': 1, 'l1_ratio': 1, 'max_iter': 10000, 'random_state': 0}",4,111231.97283097048,149609.45746465639,112679.8074709472,123124.03438901456,"[2016, 2017]",[2018],ElasticNet
"{'alpha': 0.1, 'l1_ratio': 0.2, 'max_iter': 10000, 'random_state': 0}",5,126717.99776579354,149694.82881972185,128744.91602352263,134314.9567197031,"[2016, 2017]",[2018],ElasticNet
"{'alpha': 0.1, 'l1_ratio': 0.4, 'max_iter': 10000, 'random_state': 0}",6,125891.66949735463,149935.35811766956,127985.1935134957,133445.1975517129,"[2016, 2017]",[2018],ElasticNet
"{'alpha': 0.1, 'l1_ratio': 0.6, 'max_iter': 10000, 'random_state': 0}",7,124639.03774240821,150307.6911010402,126813.85671750805,132278.63419055674,"[2016, 2017]",[2018],ElasticNet
"{'alpha': 0.01, 'l1_ratio': 0.8, 'max_iter': 10000, 'random_state': 0}",8,113668.34828270794,150348.19994098126,115400.73164842506,124499.15729559143,"[2016, 2017]",[2018],ElasticNet
"{'alpha': 0.1, 'l1_ratio': 1, 'max_iter': 10000, 'random_state': 0}",9,111231.79538284299,150807.63202116123,112679.62299192151,123130.57409380809,"[2016, 2017]",[2018],ElasticNet
"{'alpha': 0.1, 'l1_ratio': 0.8, 'max_iter': 10000, 'random_state': 0}",10,122183.19566212896,150872.850167555,124435.69324415349,130306.32042861477,"[2016, 2017]",[2018],ElasticNet
"{'alpha': 0.01, 'l1_ratio': 0.6, 'max_iter': 10000, 'random_state': 0}",11,115801.55411911954,150979.30026806655,117769.90574102255,125893.53120262054,"[2016, 2017]",[2018],ElasticNet
"{'alpha': 100, 'l1_ratio': 1, 'max_iter': 10000, 'random_state': 0}",12,112419.77331479207,151110.1756002026,113952.44993119933,123558.42435911713,"[2016, 2017]",[2018],ElasticNet
"{'alpha': 1, 'l1_ratio': 0.6, 'max_iter': 10000, 'random_state': 0}",13,132340.41675821412,151131.84757446626,133963.30563424065,141822.25598656462,"[2016, 2017]",[2018],ElasticNet
"{'alpha': 0.01, 'l1_ratio': 0.4, 'max_iter': 10000, 'random_state': 0}",14,117333.82658337703,151168.5927393466,119430.94245786492,126910.36077657125,"[2016, 2017]",[2018],ElasticNet
"{'alpha': 0.01, 'l1_ratio': 0, 'max_iter': 10000, 'random_state': 0}",15,119407.41680921263,151184.82528313086,121619.02292464439,128317.27309788007,"[2016, 2017]",[2018],ElasticNet
"{'alpha': 0.01, 'l1_ratio': 0.2, 'max_iter': 10000, 'random_state': 0}",16,118492.33779593649,151207.0855055398,120662.05593249682,127690.75200839227,"[2016, 2017]",[2018],ElasticNet
"{'alpha': 1000, 'l1_ratio': 1, 'max_iter': 10000, 'random_state': 0}",17,126125.7119912334,152467.62651732448,129174.08260474111,133895.70200270167,"[2016, 2017]",[2018],ElasticNet
"{'alpha': 1, 'l1_ratio': 0.4, 'max_iter': 10000, 'random_state': 0}",18,134886.83641227242,153225.4364899511,136417.08753808247,145073.61281391123,"[2016, 2017]",[2018],ElasticNet
"{'alpha': 1, 'l1_ratio': 0.2, 'max_iter': 10000, 'random_state': 0}",19,137230.45069327237,155418.77357510212,138700.27015295348,147869.23718988054,"[2016, 2017]",[2018],ElasticNet
"{'alpha': 1, 'l1_ratio': 0, 'max_iter': 10000, 'random_state': 0}",20,139413.2652160706,157586.24337004224,140840.00795794604,150350.87591663716,"[2016, 2017]",[2018],ElasticNet
"{'alpha': 0.01, 'l1_ratio': 1, 'max_iter': 10000, 'random_state': 0}",21,111231.79381644736,161343.0031591066,112679.62133133189,123131.15060939187,"[2016, 2017]",[2018],ElasticNet
"{'alpha': 10, 'l1_ratio': 0.8, 'max_iter': 10000, 'random_state': 0}",22,148534.13660133982,167211.49312577705,149866.69884837355,160025.7597468024,"[2016, 2017]",[2018],ElasticNet
"{'alpha': 10, 'l1_ratio': 0.6, 'max_iter': 10000, 'random_state': 0}",23,161172.71584918705,180923.85461574682,162541.8685527689,172732.1363934759,"[2016, 2017]",[2018],ElasticNet
"{'alpha': 10, 'l1_ratio': 0.4, 'max_iter': 10000, 'random_state': 0}",24,169671.4699147265,190042.48069093318,171145.2544128337,181163.2884575191,"[2016, 2017]",[2018],ElasticNet
"{'alpha': 10, 'l1_ratio': 0.2, 'max_iter': 10000, 'random_state': 0}",25,175813.96773510322,196524.90590393063,177388.24719510757,187246.11461136953,"[2016, 2017]",[2018],ElasticNet
"{'alpha': 10, 'l1_ratio': 0, 'max_iter': 10000, 'random_state': 0}",26,180467.5654845299,201367.0757826681,182125.50062023732,191853.4005891968,"[2016, 2017]",[2018],ElasticNet
"{'alpha': 100, 'l1_ratio': 0.8, 'max_iter': 10000, 'random_state': 0}",27,193236.39569152883,214340.98804702633,195125.37651681685,204490.1926157462,"[2016, 2017]",[2018],ElasticNet
"{'alpha': 100, 'l1_ratio': 0.6, 'max_iter': 10000, 'random_state': 0}",28,202288.85045381048,223256.77746540893,204314.88031819623,213435.20840340835,"[2016, 2017]",[2018],ElasticNet
"{'alpha': 100, 'l1_ratio': 0.4, 'max_iter': 10000, 'random_state': 0}",29,205898.5817575582,226751.05723327407,207967.73651922308,216995.43489104247,"[2016, 2017]",[2018],ElasticNet
"{'alpha': 100, 'l1_ratio': 0.2, 'max_iter': 10000, 'random_state': 0}",30,207839.41501640374,228615.9575157527,209928.42440978703,218907.6117065977,"[2016, 2017]",[2018],ElasticNet
"{'alpha': 100, 'l1_ratio': 0, 'max_iter': 10000, 'random_state': 0}",31,209051.37837826813,229775.6758901094,211151.51139112836,220100.87988322938,"[2016, 2017]",[2018],ElasticNet
"{'alpha': 1000, 'l1_ratio': 0.8, 'max_iter': 10000, 'random_state': 0}",32,211620.62117527923,232227.99414663884,213741.37890267395,222628.1130380038,"[2016, 2017]",[2018],ElasticNet
"{'alpha': 1000, 'l1_ratio': 0.6, 'max_iter': 10000, 'random_state': 0}",33,212935.7450482684,233471.12885359893,215064.71643303343,223920.70793349587,"[2016, 2017]",[2018],ElasticNet
"{'alpha': 1000, 'l1_ratio': 0.4, 'max_iter': 10000, 'random_state': 0}",34,213383.4734601238,233893.3979075192,215514.92768491464,224360.55449160622,"[2016, 2017]",[2018],ElasticNet
"{'alpha': 1000, 'l1_ratio': 0.2, 'max_iter': 10000, 'random_state': 0}",35,213609.1290810769,234106.01650316213,215741.77641292324,224582.19815330787,"[2016, 2017]",[2018],ElasticNet
"{'alpha': 1000, 'l1_ratio': 0, 'max_iter': 10000, 'random_state': 0}",36,213745.10052015973,234234.06271395026,215878.44633560246,224715.73729484747,"[2016, 2017]",[2018],ElasticNet
"{'alpha': 0.1, 'l1_ratio': 0, 'max_iter': 10000, 'random_state': 0}",1,128531.44951785918,145796.16256546692,130033.6697369359,111888.54764358613,"[2016, 2017, 2018]",[2019],ElasticNet
"{'alpha': 0.1, 'l1_ratio': 0.2, 'max_iter': 10000, 'random_state': 0}",2,127939.3869697853,145859.82324212306,129493.79243044845,111246.77206479872,"[2016, 2017, 2018]",[2019],ElasticNet
"{'alpha': 0.1, 'l1_ratio': 0.4, 'max_iter': 10000, 'random_state': 0}",3,127171.76573348789,146039.52857860838,128791.37034392629,110469.57289091588,"[2016, 2017, 2018]",[2019],ElasticNet
"{'alpha': 1, 'l1_ratio': 0.8, 'max_iter': 10000, 'random_state': 0}",4,130597.07989408348,146340.9032691439,131943.13477043758,114323.2427025428,"[2016, 2017, 2018]",[2019],ElasticNet
"{'alpha': 0.1, 'l1_ratio': 0.6, 'max_iter': 10000, 'random_state': 0}",5,126030.50848871408,146393.96023909718,127733.10725602585,109419.8384787528,"[2016, 2017, 2018]",[2019],ElasticNet
"{'alpha': 0.1, 'l1_ratio': 0.8, 'max_iter': 10000, 'random_state': 0}",6,123817.29557578807,147037.65815112044,125617.53343269869,107644.98491659731,"[2016, 2017, 2018]",[2019],ElasticNet
"{'alpha': 0.01, 'l1_ratio': 0, 'max_iter': 10000, 'random_state': 0}",7,121287.58651202766,147541.83395468953,123101.01520746217,105905.53345346503,"[2016, 2017, 2018]",[2019],ElasticNet
"{'alpha': 0.01, 'l1_ratio': 0.2, 'max_iter': 10000, 'random_state': 0}",8,120436.88820630891,147659.258605603,122233.57523451377,105382.1104177718,"[2016, 2017, 2018]",[2019],ElasticNet
"{'alpha': 0.01, 'l1_ratio': 0.4, 'max_iter': 10000, 'random_state': 0}",9,119342.82409220729,147773.67313870907,121103.73733165799,104759.24795817127,"[2016, 2017, 2018]",[2019],ElasticNet
"{'alpha': 0.01, 'l1_ratio': 0.6, 'max_iter': 10000, 'random_state': 0}",10,117859.49629908435,147862.8444169345,119549.2382242581,104024.64125867792,"[2016, 2017, 2018]",[2019],ElasticNet
"{'alpha': 0.01, 'l1_ratio': 0.8, 'max_iter': 10000, 'random_state': 0}",11,115703.0081512158,147877.8236613027,117259.99148882864,103305.76920291463,"[2016, 2017, 2018]",[2019],ElasticNet
"{'alpha': 1000, 'l1_ratio': 1, 'max_iter': 10000, 'random_state': 0}",12,127448.25737641753,147987.8473768616,130220.02526442091,110613.21921476269,"[2016, 2017, 2018]",[2019],ElasticNet
"{'alpha': 10, 'l1_ratio': 1, 'max_iter': 10000, 'random_state': 0}",13,113037.57564197012,148341.95775332546,114525.80057367908,104894.4205114738,"[2016, 2017, 2018]",[2019],ElasticNet
"{'alpha': 1, 'l1_ratio': 0.6, 'max_iter': 10000, 'random_state': 0}",14,133701.72471434344,148737.5398409002,134927.34201796105,117988.42315730694,"[2016, 2017, 2018]",[2019],ElasticNet
"{'alpha': 1, 'l1_ratio': 1, 'max_iter': 10000, 'random_state': 0}",15,113020.35435081551,148743.28129978132,114506.77686745982,105056.43119611267,"[2016, 2017, 2018]",[2019],ElasticNet
"{'alpha': 100, 'l1_ratio': 1, 'max_iter': 10000, 'random_state': 0}",16,114143.39608989099,149704.57596685793,115741.5913903843,104591.87761368904,"[2016, 2017, 2018]",[2019],ElasticNet
"{'alpha': 0.1, 'l1_ratio': 1, 'max_iter': 10000, 'random_state': 0}",17,113020.17039783132,149773.4848670427,114506.586507186,105072.85638150242,"[2016, 2017, 2018]",[2019],ElasticNet
"{'alpha': 1, 'l1_ratio': 0.4, 'max_iter': 10000, 'random_state': 0}",18,136434.83243157493,151391.93701544317,137611.7166938362,121011.77737706793,"[2016, 2017, 2018]",[2019],ElasticNet
"{'alpha': 1, 'l1_ratio': 0.2, 'max_iter': 10000, 'random_state': 0}",19,138936.73952728647,153973.74349511694,140085.85276389273,123652.28685971162,"[2016, 2017, 2018]",[2019],ElasticNet
"{'alpha': 1, 'l1_ratio': 0, 'max_iter': 10000, 'random_state': 0}",20,141248.88061500737,156425.19856285787,142378.9736139795,126021.15874528572,"[2016, 2017, 2018]",[2019],ElasticNet
"{'alpha': 0.01, 'l1_ratio': 1, 'max_iter': 10000, 'random_state': 0}",21,113020.16872804768,158833.23551468537,114506.58476900242,105074.50679079886,"[2016, 2017, 2018]",[2019],ElasticNet
"{'alpha': 10, 'l1_ratio': 0.8, 'max_iter': 10000, 'random_state': 0}",22,150743.8861054716,166794.15001068352,151835.3646873662,135423.09042870422,"[2016, 2017, 2018]",[2019],ElasticNet
"{'alpha': 10, 'l1_ratio': 0.6, 'max_iter': 10000, 'random_state': 0}",23,163637.94727214013,181070.81988884255,164789.0532928181,148069.39931659692,"[2016, 2017, 2018]",[2019],ElasticNet
"{'alpha': 10, 'l1_ratio': 0.4, 'max_iter': 10000, 'random_state': 0}",24,172232.18036158732,190478.1549763948,173493.86974892023,156599.9424274171,"[2016, 2017, 2018]",[2019],ElasticNet
"{'alpha': 10, 'l1_ratio': 0.2, 'max_iter': 10000, 'random_state': 0}",25,178427.6654100362,197155.4633665781,179794.5363155826,162808.18995782943,"[2016, 2017, 2018]",[2019],ElasticNet
